    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.1635   3.500E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           3.5     6.1825   3.500E+00   0.0000   0.0026   2.149E-11  -5.96210039E-13   9.32776009E-11   2.22017050E-16
       2             7     0.6962   3.500E+00   0.0000   0.0027   2.001E-11   2.48353746E-12   3.72956943E-10   2.22017050E-16
       3          10.5     0.6951   3.500E+00   0.0000   0.0027   1.933E-11   6.85521735E-13   8.38834169E-10   2.22017050E-16
       4            14     0.6916   3.500E+00   0.0001   0.0027   2.092E-11   4.42382112E-12   1.49068469E-09   2.22017050E-16
       5          17.5     0.6926   3.500E+00   0.0001   0.0027   2.228E-11  -6.82103300E-13   2.32824204E-09   2.22017050E-16
       6            21     0.6919   3.500E+00   0.0001   0.0027   2.365E-11   4.23151401E-12   3.35133254E-09   2.22017050E-16
       7          24.5     0.6956   3.500E+00   0.0001   0.0027   2.365E-11   9.48880514E-13   4.55967708E-09   2.22017050E-16
       8            28     0.6928   3.500E+00   0.0001   0.0026   2.183E-11   1.75921148E-12   5.95309713E-09   2.22017050E-16
       9          31.5     0.6945   3.500E+00   0.0001   0.0026   2.365E-11  -7.97999565E-14   7.53103180E-09   2.22017050E-16
      10            35     0.6941   3.500E+00   0.0002   0.0026   2.183E-11   8.16097407E-13   9.29232868E-09   2.22017050E-16
      11          38.5     0.6915   3.500E+00   0.0002   0.0026   2.365E-11  -2.25872421E-13   1.12369127E-08   2.22017050E-16
      12            42     0.6925   3.500E+00   0.0002   0.0026   2.547E-11  -1.78566092E-12   1.33630005E-08   2.22017050E-16
      13          45.5     0.6920   3.500E+00   0.0002   0.0026   2.728E-11   3.66605140E-12   1.56697375E-08   2.22017050E-16
      14            49     0.6958   3.500E+00   0.0002   0.0026   2.547E-11  -8.54238989E-13   1.81547701E-08   2.22017050E-16
      15          52.5     0.6936   3.500E+00   0.0002   0.0026   2.910E-11  -7.30688513E-13   2.08180762E-08   2.22017050E-16
      16            56     0.6945   3.500E+00   0.0003   0.0026   2.910E-11  -2.25033338E-12   2.36566713E-08   2.22017050E-16
      17          59.5     0.6933   3.500E+00   0.0003   0.0026   3.274E-11   2.93716635E-12   2.66699924E-08   2.22017050E-16
      18            63     0.6956   3.500E+00   0.0003   0.0026   3.092E-11  -4.57766203E-12   2.98550731E-08   2.22017050E-16
      19          66.5     0.6922   3.500E+00   0.0003   0.0026   3.092E-11   2.67922251E-12   3.32109096E-08   2.22017050E-16
      20            70     0.6904   3.500E+00   0.0003   0.0026   3.274E-11   8.70091000E-13   3.67353579E-08   2.22017050E-16
      21          73.5     0.6914   3.500E+00   0.0003   0.0026   3.456E-11   2.38317070E-12   4.04279703E-08   2.22017050E-16
      22            77     0.6919   3.500E+00   0.0004   0.0026   3.638E-11  -3.15249563E-12   4.42845547E-08   2.22017050E-16
      23          80.5     0.6938   3.500E+00   0.0004   0.0026   3.274E-11  -4.14128194E-12   4.83048481E-08   2.22017050E-16
