    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0020   3.500E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           3.5     3.2975   3.500E+00   0.0000   0.0026   2.024E-11   1.99240255E-13   9.32795716E-11   2.22017050E-16
       2             7     0.6934   3.500E+00   0.0000   0.0027   2.183E-11   8.95645212E-13   3.73018977E-10   2.22017050E-16
       3          10.5     0.6926   3.500E+00   0.0000   0.0027   2.046E-11  -3.64675006E-13   8.39083192E-10   2.22017050E-16
       4            14     0.6924   3.500E+00   0.0001   0.0027   2.092E-11   1.04150586E-12   1.49134072E-09   2.22017050E-16
       5          17.5     0.6913   3.500E+00   0.0001   0.0026   2.092E-11   1.25952168E-12   2.32967134E-09   2.22017050E-16
       6            21     0.6913   3.500E+00   0.0001   0.0026   2.092E-11   8.48720020E-13   3.35404726E-09   2.22017050E-16
       7          24.5     0.6912   3.500E+00   0.0001   0.0026   2.183E-11  -6.93928584E-13   4.56422500E-09   2.22017050E-16
       8            28     0.6884   3.500E+00   0.0001   0.0026   2.274E-11   5.98015994E-13   5.96031491E-09   2.22017050E-16
       9          31.5     0.6909   3.500E+00   0.0001   0.0026   2.365E-11   3.20600182E-13   7.54214025E-09   2.22017050E-16
      10            35     0.6918   3.500E+00   0.0002   0.0026   2.547E-11  -5.57909838E-13   9.30945099E-09   2.22017050E-16
      11          38.5     0.6915   3.500E+00   0.0002   0.0026   2.547E-11   1.04909722E-12   1.12626486E-08   2.22017050E-16
      12            42     0.6907   3.500E+00   0.0002   0.0026   2.365E-11   9.25865504E-13   1.34016371E-08   2.22017050E-16
      13          45.5     0.6898   3.500E+00   0.0002   0.0026   2.728E-11   5.30622475E-13   1.57264761E-08   2.22017050E-16
      14            49     0.6920   3.500E+00   0.0002   0.0026   3.092E-11   2.09002845E-12   1.82371078E-08   2.22017050E-16
      15          52.5     0.6915   3.500E+00   0.0002   0.0026   2.910E-11  -6.63504896E-13   2.09342339E-08   2.22017050E-16
      16            56     0.6916   3.500E+00   0.0003   0.0026   2.910E-11   1.78183282E-12   2.38176607E-08   2.22017050E-16
      17          59.5     0.6899   5.000E-01   0.0000   0.0004   3.092E-11   3.07108370E-13   2.68875073E-08   2.22017050E-16
      18            60     0.6897   3.500E+00   0.0003   0.0026   2.001E-11  -3.14378243E-14   2.73412706E-08   2.22017050E-16
