    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0             0     0.0012   5.100E+00   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
       1           5.1    19.8260   5.100E+00   0.0001   0.0038   3.183E-11   1.15338847E-12   6.18125551E-10   2.22073801E-16
       2          10.2     1.4557   5.100E+00   0.0002   0.0038   3.274E-11  -5.25782109E-13   2.46855336E-09   2.22073801E-16
       3          15.3     1.4624   5.100E+00   0.0003   0.0038   3.638E-11   2.22180109E-12   5.54178969E-09   2.22073801E-16
       4          20.4     1.4554   5.100E+00   0.0004   0.0038   3.638E-11  -2.49858532E-12   9.82654225E-09   2.22073801E-16
       5          25.5     1.4606   5.100E+00   0.0005   0.0038   4.366E-11   2.53111789E-12   1.53097872E-08   2.22073801E-16
       6          30.6     1.4560   5.100E+00   0.0007   0.0038   4.911E-11   3.45000222E-12   2.19783356E-08   2.22073801E-16
       7          35.7     1.4568   5.100E+00   0.0008   0.0038   5.093E-11  -1.70880790E-12   2.98148599E-08   2.22073801E-16
       8          40.8     1.4573   5.100E+00   0.0009   0.0038   5.821E-11  -4.23855352E-12   3.88034209E-08   2.22073801E-16
       9          45.9     1.4528   5.100E+00   0.0010   0.0038   6.548E-11  -5.75261572E-13   4.89226579E-08   2.22073801E-16
      10            51     1.4553   5.100E+00   0.0011   0.0038   6.548E-11  -1.32263070E-12   6.01525301E-08   2.22073801E-16
      11          56.1     1.4598   5.100E+00   0.0012   0.0038   6.548E-11  -2.98428735E-13   7.24621358E-08   2.22073801E-16
      12          61.2     1.4635   5.100E+00   0.0013   0.0038   7.276E-11   1.20463296E-12   8.58309193E-08   2.22073801E-16
      13          66.3     1.4544   5.100E+00   0.0014   0.0038   7.685E-11  -4.69870410E-12   1.00222920E-07   2.22073801E-16
      14          71.4     1.4552   5.100E+00   0.0015   0.0038   8.731E-11  -1.59167991E-12   1.15610675E-07   2.22073801E-16
      15          76.5     1.4584   5.100E+00   0.0016   0.0038   9.459E-11   6.25379089E-12   1.31952476E-07   2.22073801E-16
      16          81.6     1.4584   5.100E+00   0.0017   0.0038   9.459E-11   1.59854863E-13   1.49223212E-07   2.22073801E-16
      17          86.7     1.4547   5.100E+00   0.0018   0.0038   9.459E-11   3.12963999E-12   1.67379454E-07   2.22073801E-16
      18          91.8     1.4587   5.100E+00   0.0019   0.0038   1.019E-10  -9.87764818E-12   1.86385805E-07   2.22073801E-16
      19          96.9     1.4580   5.100E+00   0.0020   0.0038   1.019E-10  -2.03196699E-13   2.06197498E-07   2.22073801E-16
      20           102     1.4586   5.100E+00   0.0021   0.0038   1.164E-10   7.64570861E-13   2.26778155E-07   2.22073801E-16
      21         107.1     1.4590   5.100E+00   0.0022   0.0038   1.164E-10  -8.71065806E-13   2.48081506E-07   2.22073801E-16
      22         112.2     1.4584   5.100E+00   0.0022   0.0038   1.164E-10  -7.51793246E-12   2.70061264E-07   2.22073801E-16
      23         117.3     1.4600   5.100E+00   0.0023   0.0038   1.164E-10  -4.18790046E-12   2.92681676E-07   2.22073801E-16
      24         122.4     1.4533   5.100E+00   0.0024   0.0038   1.182E-10  -7.56079487E-12   3.15899399E-07   2.22073801E-16
      25         127.5     1.4520   5.100E+00   0.0025   0.0038   1.455E-10   3.14970619E-12   3.39663046E-07   2.22073801E-16
      26         132.6     1.4544   5.100E+00   0.0026   0.0038   1.291E-10  -6.97968430E-13   3.63934276E-07   2.22073801E-16
      27         137.7     1.4558   5.100E+00   0.0027   0.0038   1.310E-10  -1.71309711E-12   3.88662414E-07   2.22073801E-16
      28         142.8     1.4589   5.100E+00   0.0027   0.0038   1.437E-10  -4.49267316E-12   4.13808976E-07   2.22073801E-16
      29         147.9     1.4554   5.100E+00   0.0028   0.0038   1.601E-10  -1.27643935E-12   4.39323600E-07   2.22073801E-16
      30           153     1.4586   5.100E+00   0.0029   0.0038   1.473E-10   2.85318210E-12   4.65168341E-07   2.22073801E-16
      31         158.1     1.4626   5.100E+00   0.0030   0.0038   1.746E-10  -2.15359397E-14   4.91294202E-07   2.22073801E-16
      32         163.2     1.4534   5.100E+00   0.0031   0.0038   1.564E-10  -1.47554180E-12   5.17654485E-07   2.22073801E-16
      33         168.3     1.4576   5.100E+00   0.0031   0.0038   1.673E-10  -1.42281174E-12   5.44215027E-07   2.22073801E-16
      34         173.4     1.4552   5.100E+00   0.0032   0.0038   1.887E-10  -4.42260638E-12   5.70943769E-07   2.22073801E-16
      35         178.5     1.4597   5.100E+00   0.0033   0.0038   1.746E-10   9.27125239E-13   5.97790290E-07   2.22073801E-16
      36         183.6     1.4546   5.100E+00   0.0033   0.0038   1.764E-10  -3.37505371E-12   6.24720997E-07   2.22073801E-16
      37         188.7     1.4533   5.100E+00   0.0034   0.0038   1.992E-10   2.42294330E-13   6.51694620E-07   2.22073801E-16
      38         193.8     1.4584   5.100E+00   0.0034   0.0039   1.746E-10   7.61856398E-14   6.78680976E-07   2.22073801E-16
      39         198.9     1.4563   5.100E+00   0.0035   0.0039   1.746E-10  -3.30777642E-13   7.05640900E-07   2.22073801E-16
      40           204     1.4576   5.100E+00   0.0036   0.0039   1.855E-10  -1.37014174E-12   7.32546823E-07   2.22073801E-16
      41         209.1     1.4577   5.100E+00   0.0036   0.0039   2.010E-10   1.90950012E-12   7.59363502E-07   2.22073801E-16
      42         214.2     1.4568   5.100E+00   0.0037   0.0039   1.892E-10  -4.68268740E-12   7.86066664E-07   2.22073801E-16
      43         219.3     1.4557   5.100E+00   0.0037   0.0039   2.037E-10  -1.22268948E-12   8.12624023E-07   2.22073801E-16
      44         224.4     1.4585   5.100E+00   0.0038   0.0039   2.037E-10  -3.46452684E-12   8.39013637E-07   2.22073801E-16
      45         229.5     1.4607   5.100E+00   0.0038   0.0039   1.855E-10  -2.46127597E-12   8.65207596E-07   2.22073801E-16
      46         234.6     1.4546   5.100E+00   0.0039   0.0039   2.037E-10   4.57281782E-12   8.91188108E-07   2.22073801E-16
      47         239.7     1.4576   5.100E+00   0.0039   0.0039   2.074E-10  -4.04641728E-12   9.16930844E-07   2.22073801E-16
      48         244.8     1.4561   5.100E+00   0.0039   0.0039   1.892E-10  -1.29743547E-12   9.42421082E-07   2.22073801E-16
      49         249.9     1.4564   5.100E+00   0.0040   0.0039   1.934E-10  -3.18084036E-12   9.67638925E-07   2.22073801E-16
      50           255     1.4570   5.100E+00   0.0040   0.0039   1.892E-10  -6.92122531E-12   9.92571699E-07   2.22073801E-16
      51         260.1     1.4589   5.100E+00   0.0040   0.0039   2.328E-10  -1.63769131E-13   1.01719900E-06   2.22073801E-16
      52         265.2     1.4607   5.100E+00   0.0041   0.0039   2.046E-10   3.43615219E-13   1.04150809E-06   2.22073801E-16
      53         270.3     1.4588   5.100E+00   0.0041   0.0039   2.001E-10  -2.49187021E-12   1.06550272E-06   2.22073801E-16
      54         275.4     1.4615   5.100E+00   0.0041   0.0039   2.328E-10   3.78228698E-13   1.08917698E-06   2.22073801E-16
      55         280.5     1.4604   5.100E+00   0.0041   0.0039   2.328E-10   1.16516031E-12   1.11251666E-06   2.22073801E-16
      56         285.6     1.4569   5.100E+00   0.0041   0.0039   2.328E-10   6.12940471E-12   1.13551835E-06   2.22073801E-16
      57         290.7     1.4608   5.100E+00   0.0042   0.0039   2.328E-10  -1.67908344E-13   1.15817738E-06   2.22073801E-16
      58         295.8     1.4530   5.100E+00   0.0042   0.0039   2.328E-10   2.85114250E-12   1.18049456E-06   2.22073801E-16
      59         300.9     1.4571   5.100E+00   0.0042   0.0039   2.328E-10   1.90188143E-12   1.20246796E-06   2.22073801E-16
      60           306     1.4582   5.100E+00   0.0042   0.0039   2.328E-10  -4.32098541E-12   1.22410063E-06   2.22073801E-16
      61         311.1     1.4605   5.100E+00   0.0042   0.0039   2.328E-10  -5.49334449E-12   1.24539361E-06   2.22073801E-16
      62         316.2     1.4601   5.100E+00   0.0042   0.0039   2.328E-10  -1.10865104E-12   1.26635189E-06   2.22073801E-16
      63         321.3     1.4574   5.100E+00   0.0043   0.0039   2.328E-10  -4.18175173E-12   1.28697923E-06   2.22073801E-16
      64         326.4     1.4619   5.100E+00   0.0043   0.0039   2.328E-10  -4.61019114E-12   1.30728267E-06   2.22073801E-16
      65         331.5     1.4572   5.100E+00   0.0043   0.0039   2.328E-10  -7.19942292E-12   1.32726871E-06   2.22073801E-16
      66         336.6     1.4568   5.100E+00   0.0043   0.0039   2.328E-10  -6.22706617E-12   1.34694494E-06   2.22073801E-16
      67         341.7     1.4567   5.100E+00   0.0043   0.0039   2.328E-10  -1.61591541E-12   1.36631900E-06   2.22073801E-16
      68         346.8     1.4595   5.100E+00   0.0043   0.0039   2.328E-10   2.79847239E-12   1.38540054E-06   2.22073801E-16
      69         351.9     1.4611   5.100E+00   0.0043   0.0039   2.328E-10  -4.46033922E-12   1.40419854E-06   2.22073801E-16
      70           357     1.4532   5.100E+00   0.0043   0.0039   2.328E-10   4.94426819E-13   1.42272313E-06   2.22073801E-16
      71         362.1     1.4584   5.100E+00   0.0043   0.0039   2.328E-10  -1.85431054E-12   1.44098362E-06   2.22073801E-16
      72         367.2     1.4627   5.100E+00   0.0043   0.0039   2.328E-10   1.31267252E-12   1.45898980E-06   2.22073801E-16
      73         372.3     1.4660   5.100E+00   0.0043   0.0039   2.328E-10  -3.14988617E-12   1.47675223E-06   2.22073801E-16
      74         377.4     1.4554   5.100E+00   0.0043   0.0039   2.328E-10   2.88425642E-13   1.49428070E-06   2.22073801E-16
      75         382.5     1.4577   5.100E+00   0.0043   0.0039   2.328E-10   1.26084234E-12   1.51158463E-06   2.22073801E-16
      76         387.6     1.4614   5.100E+00   0.0043   0.0038   2.328E-10  -3.82187944E-12   1.52867256E-06   2.22073801E-16
      77         392.7     1.4581   5.100E+00   0.0043   0.0038   2.328E-10  -4.25499783E-12   1.54555403E-06   2.22073801E-16
      78         397.8     1.4557   5.100E+00   0.0043   0.0038   2.328E-10  -2.69697155E-12   1.56223621E-06   2.22073801E-16
      79         402.9     1.4601   5.100E+00   0.0043   0.0038   2.328E-10  -6.58627840E-12   1.57872648E-06   2.22073801E-16
      80           408     1.4576   5.100E+00   0.0043   0.0038   2.328E-10  -3.52361586E-12   1.59503213E-06   2.22073801E-16
      81         413.1     1.4587   5.100E+00   0.0043   0.0038   2.328E-10  -4.44684177E-12   1.61116009E-06   2.22073801E-16
      82         418.2     1.4587   5.100E+00   0.0043   0.0038   2.328E-10   5.20341929E-12   1.62711478E-06   2.22073801E-16
      83         423.3     1.4594   5.100E+00   0.0043   0.0038   2.910E-10  -5.10311801E-12   1.64290225E-06   2.22073801E-16
      84         428.4     1.4601   5.100E+00   0.0043   0.0038   2.328E-10   8.46668395E-12   1.65852566E-06   2.22073801E-16
      85         433.5     1.4576   5.100E+00   0.0043   0.0038   2.328E-10   1.24698489E-11   1.67398957E-06   2.22073801E-16
      86         438.6     1.4595   5.100E+00   0.0043   0.0038   2.328E-10   5.30300023E-12   1.68929580E-06   2.22073801E-16
      87         443.7     1.4631   5.100E+00   0.0042   0.0038   2.328E-10  -4.12134302E-12   1.70444798E-06   2.22073801E-16
      88         448.8     1.4599   5.100E+00   0.0042   0.0038   2.328E-10  -5.49316452E-12   1.71944635E-06   2.22073801E-16
      89         453.9     1.4600   5.100E+00   0.0042   0.0038   2.328E-10  -5.83234069E-12   1.73429339E-06   2.22073801E-16
      90           459     1.4597   5.100E+00   0.0042   0.0038   2.328E-10  -1.90308121E-12   1.74898787E-06   2.22073801E-16
      91         464.1     1.4601   5.100E+00   0.0042   0.0038   2.328E-10  -3.44479068E-12   1.76353080E-06   2.22073801E-16
      92         469.2     1.4632   5.100E+00   0.0042   0.0038   2.328E-10  -6.93229328E-13   1.77791992E-06   2.22073801E-16
      93         474.3     1.4613   5.100E+00   0.0042   0.0038   2.328E-10   1.05436124E-12   1.79215635E-06   2.22073801E-16
      94         479.4     1.4619   5.100E+00   0.0041   0.0038   2.328E-10   4.82872986E-12   1.80623658E-06   2.22073801E-16
      95         484.5     1.4565   5.100E+00   0.0041   0.0038   2.328E-10   8.98438615E-12   1.82016038E-06   2.22073801E-16
      96         489.6     1.4614   5.100E+00   0.0041   0.0038   2.328E-10   1.84789163E-12   1.83392376E-06   2.22073801E-16
      97         494.7     1.4577   5.100E+00   0.0041   0.0038   2.328E-10   3.72733745E-12   1.84752639E-06   2.22073801E-16
      98         499.8     1.4563   5.100E+00   0.0041   0.0038   2.328E-10   1.03708448E-12   1.86096418E-06   2.22073801E-16
      99         504.9     1.4588   5.100E+00   0.0041   0.0038   2.328E-10  -1.10175226E-12   1.87423541E-06   2.22073801E-16
     100           510     1.4626   5.100E+00   0.0041   0.0038   2.328E-10   1.29491589E-12   1.88733645E-06   2.22073801E-16
